parameter1,parameter2,average,standard deviation
113.0,0.0025075,0.11013783738017083,0.04814680277671822
41.0,0.0075025000000000005,0.10967769771814347,0.04746695537264812
59.0,0.0037562500000000005,0.1091194950044155,0.047676216692048815
131.0,0.00875125,0.10903224870562553,0.04821309153205787
95.0,0.00125875,0.1101754993200302,0.04883228586345897
23.0,0.00625375,0.10907830148935319,0.04796636325623675
32.0,0.003131875,0.10949047431349754,0.04807888115218645
104.0,0.008126875,0.10925020650029182,0.04804185503251366
140.0,0.0006343750000000001,0.11076070666313172,0.04926456295058716
68.0,0.005629375,0.10869120433926582,0.04713859640053518
50.0,0.0018831250000000003,0.10906716138124466,0.047895570916523994
122.0,0.006878125,0.10919685512781144,0.04788765598879235
86.0,0.004380625,0.10910411104559899,0.047370696832332214
14.0,0.009375625,0.10960181802511215,0.0472944073976077
18.0,0.0046928125,0.1086179107427597,0.04744687056891861
91.0,0.0096878125,0.10912972316145897,0.047135574675559455
127.0,0.0021953125,0.11047071665525436,0.048582477416473424
54.0,0.0071903125,0.10862813219428062,0.04804128935815384
72.0,0.0009465625000000001,0.11005772799253463,0.048325418818160694
145.0,0.0059415625,0.10951946377754211,0.0483928108219726
109.0,0.0034440625,0.1092129148542881,0.04777762912665688
36.0,0.0084390625,0.10936257019639015,0.04735837328494477
27.0,0.0015709375,0.10903911590576172,0.048174905148050624
100.0,0.0065659375,0.10939033329486847,0.04762521230890202
136.0,0.0040684375,0.10957909002900124,0.04827866914293728
63.0,0.0090634375,0.10858078226447106,0.04791342136579962
45.0,0.0028196875,0.10929562076926232,0.048270708459217306
118.0,0.0078146875,0.10960665345191956,0.04711150082174516
82.0,0.00032218750000000005,0.11113575100898743,0.04928994296430884
9.0,0.0053171875,0.10951622202992439,0.04842903886509244
11.0,0.00266359375,0.10833977013826371,0.04759882705755944
84.0,0.0076585937500000005,0.10935827866196632,0.04786058349711756
120.0,0.00016609375,0.1107995018362999,0.048820374349956015
48.0,0.00516109375,0.10870002433657647,0.04773471966053527
66.0,0.00141484375,0.10971224382519722,0.04821884102915191
138.0,0.00640984375,0.10919776633381843,0.048053974664895395
102.0,0.00391234375,0.10951514840126038,0.04766978035380902
29.0,0.00890734375,0.10967506170272827,0.04840542912594539
38.0,0.00079046875,0.10919765755534172,0.04839677381889171
111.0,0.00578546875,0.10960187986493111,0.047494528429586805
147.0,0.00328796875,0.11027605608105659,0.04861293453833267
75.0,0.00828296875,0.10914552807807923,0.04817131922866398
57.0,0.00453671875,0.10941612049937248,0.048320787962712705
129.0,0.00953171875,0.10948772951960564,0.0474100858581609
93.0,0.0020392187500000002,0.10964779183268547,0.04826800037975928
20.0,0.00703421875,0.1091474361717701,0.04833023175718034
16.0,0.00235140625,0.10891539826989174,0.04753182134981053
88.0,0.00734640625,0.10918490290641784,0.047625298803245376
125.0,0.00484890625,0.1096501626074314,0.047694585545399654
52.0,0.00984390625,0.10981545522809029,0.04719449692387657
70.0,0.00360015625,0.10946703851222991,0.048110934740679324
143.0,0.00859515625,0.10916928574442863,0.047691561046160624
106.0,0.0011026562500000001,0.1107144720852375,0.048901695886513843
34.0,0.00609765625,0.10939575061202049,0.047722416312305456
