Item,Average,Standard_Deviation,Highest,Lowest
1,338614.7477165,12524.261927396807,358993.905147,315169.314923
2,338528.60815073334,12648.110494083481,359330.077601,314985.620409
3,338442.4647574,12774.700411031225,359666.250055,314801.925894
4,338356.3208278667,12903.951678235871,360002.422509,314618.23138
5,338270.18239413336,13035.785122140582,360338.612827,314434.536866
6,35179.26790813333,6461.022921643202,45686.697408,22201.327385
7,35093.12651563333,6598.341429582488,45558.348255,22126.159005
8,35006.98505163333,6740.333986294234,45513.698921,22050.990626
9,34920.8434671,6886.711976412247,45849.875841,21975.822246
10,34834.70167193333,7037.201873910705,46186.052761,21900.653866
11,243944.32598973333,11660.658987281253,263992.201943,222618.353101
12,243858.1839278,11786.376802653305,264328.392261,222543.180049
13,243772.04127356666,11914.993261289475,264664.564715,222468.025687
14,243685.89911383332,12046.419003216823,265000.73717,222392.852635
15,243599.7570648,12180.56269111943,265336.909624,222317.679582

//This is for perceptron
