parameter1,parameter2,average,standard deviation
113.0,0.0025075,0.09923033552865188,0.03450391038879325
41.0,0.0075025000000000005,0.09280380792915821,0.032654948132454197
59.0,0.0037562500000000005,0.09442480678359667,0.03348262386204645
131.0,0.00875125,0.09405018252631028,0.03327609250168802
95.0,0.00125875,0.10962515324354172,0.03747816245645268
23.0,0.00625375,0.09179163786272208,0.03198312805710387
32.0,0.003131875,0.09372522793710232,0.033148486450276994
104.0,0.008126875,0.0940386580924193,0.033228759353694425
140.0,0.0006343750000000001,0.14262376278638839,0.04394730384952837
68.0,0.005629375,0.0940097821255525,0.03323998921225289
50.0,0.0018831250000000003,0.09616296949485938,0.03445118378887422
122.0,0.006878125,0.09459445079167685,0.03346806212462015
86.0,0.004380625,0.09453319994111856,0.033551632662162836
14.0,0.009375625,0.0904774767657121,0.03137371498570087
18.0,0.0046928125,0.0921050830433766,0.032287772216959776
91.0,0.0096878125,0.09356481097638607,0.033048648071378216
127.0,0.0021953125,0.10326726598044236,0.03485619890603465
54.0,0.0071903125,0.09231559013326963,0.032181844541134756
72.0,0.0009465625000000001,0.10904846216241519,0.037112877731440085
145.0,0.0059415625,0.09601394422352313,0.03414909820486876
109.0,0.0034440625,0.0971343087653319,0.03417858072669801
36.0,0.0084390625,0.091786806533734,0.031895335695255815
27.0,0.0015709375,0.09443699717521667,0.03338671229712737
100.0,0.0065659375,0.09426930708189805,0.03346643167264896
136.0,0.0040684375,0.09809262243409951,0.034220870951072825
63.0,0.0090634375,0.0928463144848744,0.03261209023320389
45.0,0.0028196875,0.0939655713737011,0.033127316200478873
118.0,0.0078146875,0.09386778188248475,0.03320462632945158
82.0,0.00032218750000000005,0.15680471981565158,0.04754808913353488
9.0,0.0053171875,0.09068956325451533,0.031509059175345536
11.0,0.00266359375,0.0921540694932143,0.03217372647446403
84.0,0.0076585937500000005,0.09377902994553249,0.033173884348591184
120.0,0.00016609375,0.3142942940195402,0.10779667964624513
48.0,0.00516109375,0.09284937878449757,0.03250969940044163
66.0,0.00141484375,0.10130064661304156,0.03634904907510949
138.0,0.00640984375,0.0949815901617209,0.03361050681249392
102.0,0.00391234375,0.0956999252239863,0.03403208707925354
29.0,0.00890734375,0.09187690652906895,0.03215760782285689
38.0,0.00079046875,0.1015930158396562,0.03425544761432631
111.0,0.00578546875,0.09473197211821874,0.03356346672146517
147.0,0.00328796875,0.1005638378361861,0.03429366471495874
75.0,0.00828296875,0.09354863986372948,0.0330415280417761
57.0,0.00453671875,0.09287553802132606,0.03234306932407091
129.0,0.00953171875,0.09404473826289177,0.03326149994986406
93.0,0.0020392187500000002,0.10032444546620051,0.034340107034080705
20.0,0.00703421875,0.09148918042580287,0.03195610956136403
16.0,0.00235140625,0.09316630885004998,0.03283651781290317
88.0,0.00734640625,0.09375901557505131,0.03315544150554671
125.0,0.00484890625,0.0956128764897585,0.03373371029087447
52.0,0.00984390625,0.0927031713227431,0.03260130844446612
70.0,0.00360015625,0.09435581192374229,0.03337131539175431
143.0,0.00859515625,0.09342246676484743,0.03291007327295252
106.0,0.0011026562500000001,0.11571762015422185,0.03777998815432246
34.0,0.00609765625,0.09284615019957225,0.032664458757559585
25.0,0.00422453125,0.09296706318855286,0.03266861077620363
97.0,0.00921953125,0.09323210082948208,0.03286989870633755
134.0,0.00172703125,0.11042843336860339,0.03618391546092325
61.0,0.00672203125,0.09339112639427186,0.03293632758269637
43.0,0.0004782812500000001,0.11301340833306313,0.03641484764152726
116.0,0.00547328125,0.09517288617789746,0.03376418157518392
79.0,0.00297578125,0.09577255360782147,0.033988220366773174
7.0,0.00797078125,0.09006314029296239,0.031037361012646075
8.0,0.003990390625,0.09083604849874974,0.03148966706014713
80.0,0.008985390625,0.09215414014955361,0.03195683284774581
117.0,0.001492890625,0.10978203987081846,0.036256980629805
44.0,0.006487890625,0.092709257081151,0.0325103799075312
62.0,0.00024414062500000005,0.15435446426272392,0.04115312937223055
135.0,0.005239140625,0.09470389535029729,0.03344276532456821
99.0,0.002741640625,0.09799966861804327,0.03490141849406922
26.0,0.007736640625,0.09174291888872782,0.03208287210633523
35.0,0.0021172656250000002,0.09422094412148,0.03333169103265706
108.0,0.007112265625,0.09276100633045038,0.03234941277963736
144.0,0.0046147656249999995,0.09543671421706676,0.033755283922527406
71.0,0.009609765625,0.09307765948275724,0.03276104433962098
53.0,0.003366015625,0.09445827218393485,0.033525051666154396
126.0,0.008361015625,0.09343068425854047,0.03295117456937806
89.0,0.000868515625,0.11824818328022957,0.039673427504850034
17.0,0.005863515625,0.09165137261152267,0.032023543887087474
21.0,0.0011807031250000001,0.09461320700744788,0.033521110565806825
94.0,0.006175703125,0.09307446318368116,0.032459447016505855
130.0,0.003678203125,0.09820519077281158,0.03491723612991103
58.0,0.008673203125,0.09277825864652793,0.03257570259101903
76.0,0.0049269531249999995,0.09429270997643471,0.033421663739470975
148.0,0.009921953125,0.0940702489266793,0.033318447165060786
112.0,0.002429453125,0.10030015098551909,0.035479574041777706
40.0,0.007424453125,0.09208878514667353,0.03208202811634048
31.0,0.003053828125,0.09324217761556307,0.03274955454151854
103.0,0.008048828125,0.09244720190763474,0.03201743647883635
139.0,0.0005563281250000001,0.15303662593166034,0.05136391282408496
67.0,0.005551328125,0.09362591840326787,0.033057177962949984
49.0,0.001805078125,0.09601402406891187,0.03369318422102895
121.0,0.006800078125,0.09465137844284376,0.03359991787184141
85.0,0.0043025781249999995,0.094680372128884,0.03350166719744752
12.0,0.009297578125,0.09023960183064143,0.031219455676776184
10.0,0.001336796875,0.09322820728023846,0.032855708743998166
83.0,0.006331796875,0.09305922165513039,0.03258342176379572
119.0,0.0038342968750000005,0.09635754103461901,0.034630319212871574
46.0,0.008829296875,0.0917355931053559,0.03169341560879091
65.0,0.002585546875,0.09582918658852577,0.034149581179062166
137.0,0.007580546875,0.0947575078656276,0.033709918695429844
101.0,8.8046875e-05,0.4449059545993805,0.10674775444953985
28.0,0.005083046875,0.09270000532269478,0.03261913791333422
37.0,0.0044586718749999995,0.09339824666579565,0.032950748427735266
110.0,0.009453671875,0.09379212111234665,0.03314400785078511
146.0,0.0019611718750000002,0.11086091709633668,0.03675222651581478
74.0,0.006956171875,0.09326459703346093,0.03286689852408353
55.0,0.0007124218750000001,0.11073731184005738,0.03971381403783186
128.0,0.005707421875,0.09563146171470484,0.03425112109323028
92.0,0.003209921875,0.09639502987265587,0.03430981925098656
19.0,0.008204921875,0.09101602435112,0.03156843551814045
15.0,0.003522109375,0.09238805323839187,0.03241812215064688
87.0,0.008517109375,0.09374574000636736,0.03312454072919993
123.0,0.0010246093750000001,0.11949680807689826,0.0387674250302669
51.0,0.006019609375,0.09334116491178672,0.03288567405359677
69.0,0.002273359375,0.09701919307311375,0.03450115584871313
142.0,0.007268359375,0.09426916390657425,0.03336333266294408
105.0,0.0047708593749999995,0.09512007944285869,0.0339039658349147
33.0,0.009765859375,0.09193690232932568,0.03215612522766155
24.0,0.00040023437500000004,0.10542544163763523,0.03626731324521555
96.0,0.005395234375,0.09461652611692746,0.03348313861423178
133.0,0.002897734375,0.1003760475665331,0.03447945895658103
60.0,0.007892734375,0.09222234524786473,0.032078985358909275
42.0,0.0041464843749999996,0.09364886718491713,0.03300812586152932
114.0,0.009141484375,0.09219212271273136,0.03191786613221711
78.0,0.001648984375,0.10178603070477645,0.036493100971219015
6.0,0.006643984375,0.09005151602129141,0.031040676117404256
6.0,0.0033269921875000003,0.09073122404515743,0.031548811300713235
79.0,0.0083219921875,0.09329081947604816,0.032888264645962756
115.0,0.0008294921875,0.12511892368396124,0.03475015230430837
42.0,0.0058244921875,0.09319189116358757,0.03281508522286952
61.0,0.0020782421875,0.09658742621541024,0.03445256451836443
133.0,0.0070732421875,0.09433493167161941,0.03338300237420176
97.0,0.0045757421875,0.09492079839110375,0.03364915972444839
24.0,0.0095707421875,0.09117145749429861,0.03168338367607021
33.0,0.0002051171875,0.1324301899721225,0.045888104419241994
106.0,0.0052001171875,0.0948988001793623,0.03382063656300385
142.0,0.0027026171875000004,0.10197046448787053,0.03586128625859955
70.0,0.0076976171875,0.09274931065738201,0.032621195884515265
52.0,0.0039513671875,0.09407579191029072,0.03333696366528139
124.0,0.0089463671875,0.09393622142573198,0.03323453779606862
88.0,0.0014538671875,0.1067988848934571,0.03685755162790023
15.0,0.0064488671875,0.09120332213739554,0.03178081875528278
20.0,0.0017660546875,0.0938212163746357,0.033072061570528076
92.0,0.0067610546875,0.09395674305657546,0.03325184668216086
129.0,0.0042635546875,0.09672578399380048,0.034186587117838924
56.0,0.0092585546875,0.09295248438914618,0.03267486358684459
74.0,0.0030148046875000003,0.09534013271331787,0.03382051917168021
147.0,0.0080098046875,0.09469249819715818,0.033628368150140746
110.0,0.0005173046875000001,0.149807554235061,0.050884591112032494
38.0,0.0055123046875,0.09214333953956763,0.03193641720916525
29.0,0.0048879296875,0.09295768812298774,0.032703577636580355
101.0,0.0098829296875,0.09335602410137653,0.03290843869705096
138.0,0.0023904296875,0.10344421962896982,0.036170784179228026
65.0,0.0073854296875,0.09311036244034768,0.03275625896941406
47.0,0.0011416796875000001,0.09922557224829992,0.03413762524316101
119.0,0.0061366796874999996,0.09431347896655401,0.03335528502858205
83.0,0.0036391796875000003,0.0947091301282247,0.03347255336858645
11.0,0.0086341796875,0.09024810319145521,0.03130743426135592
13.0,0.0006733984375000001,0.09504358557363352,0.033841886108927834
